variant	ticker	ymd	aligned_prev	atr14_pct	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
e3_atr1.5	023160	20260403	True	9.7221	22.4363	3	3	5088200.0000	5182050.0000	93850.0000	77846.6475	1704657.3075	4.5667	0.7611	-5.8965	"{""tp"": 2, ""eod"": 1}"
e4_atr2.0	023160	20260403	True	9.7221	22.4363	3	3	5088200.0000	5182050.0000	93850.0000	77846.6475	1704657.3075	4.5667	0.7611	-5.8965	"{""tp"": 2, ""eod"": 1}"
e5_atr2.5	023160	20260403	True	9.7221	22.4363	3	3	5088200.0000	5182050.0000	93850.0000	77846.6475	1704657.3075	4.5667	0.7611	-5.8965	"{""tp"": 2, ""eod"": 1}"
e6_delay1	023160	20260403	True	9.7221	22.4363	5	5	8394050.0000	8476050.0000	82000.0000	55777.5450	1703906.8200	3.2735	0.5456	-3.1707	"{""tp"": 3, ""stop"": 1, ""eod"": 1}"
e7_delay2	023160	20260403	True	9.7221	22.4363	6	6	10097600.0000	10125150.0000	27550.0000	-3820.0575	1704657.3075	-0.2241	-0.0373	-3.7304	"{""tp"": 3, ""stop"": 2, ""eod"": 1}"
e8_delay3	023160	20260403	True	9.7221	22.4363	4	4	6689200.0000	6717550.0000	28350.0000	7544.0225	1677989.9850	0.4496	0.0749	-3.9312	"{""stop"": 1, ""tp"": 2, ""eod"": 1}"
e9_nostop	023160	20260403	True	9.7221	22.4363	3	3	5088200.0000	5182050.0000	93850.0000	77846.6475	1704657.3075	4.5667	0.7611	-5.8965	"{""tp"": 2, ""eod"": 1}"
e0_base_stop2.5	230240	20260403	True	12.3204	42.1484	4	4	6740150.0000	6724600.0000	-15550.0000	-36406.3675	1691598.8250	-2.1522	-0.3587	-2.8531	"{""tp"": 1, ""zone_exit"": 1, ""stop"": 1, ""eod"": 1}"
e1_atr0.3	230240	20260403	True	12.3204	42.1484	4	4	6740150.0000	6724600.0000	-15550.0000	-36406.3675	1691598.8250	-2.1522	-0.3587	-2.8531	"{""tp"": 1, ""zone_exit"": 1, ""stop"": 1, ""eod"": 1}"
e2_atr0.5	230240	20260403	True	12.3204	42.1484	3	3	5049650.0000	5056450.0000	6800.0000	-8870.5750	1690748.2725	-0.5247	-0.0874	-3.7090	"{""tp"": 1, ""zone_exit"": 1, ""eod"": 1}"
e3_atr1.5	230240	20260403	True	12.3204	42.1484	3	3	5049650.0000	5056450.0000	6800.0000	-8870.5750	1690748.2725	-0.5247	-0.0874	-3.7090	"{""tp"": 1, ""zone_exit"": 1, ""eod"": 1}"
e4_atr2.0	230240	20260403	True	12.3204	42.1484	3	3	5049650.0000	5056450.0000	6800.0000	-8870.5750	1690748.2725	-0.5247	-0.0874	-3.7090	"{""tp"": 1, ""zone_exit"": 1, ""eod"": 1}"
