variant	month	n_days	n_buy_fills	n_sell_fills	mean_r	mae_med	win_rate	turnover	deployed	gross	net	cost	turnover_x	cost_share
w_take1.0_stop3.0_atr4.0_dev0.0	202605	23	42	35	0.1759	-1.3456	0.7391	87211600.0000	49086711.9025	679300.0000	510281.5150	169018.4850	1.7767	0.2488
w_take1.0_stop3.0_atr4.0_dev0.0	202606	6	9	7	0.0387	-1.4258	0.5000	18530100.0000	12509476.1400	60500.0000	27517.8750	32982.1250	1.4813	0.5452
w_take1.0_stop3.0_atr4.0_dev0.0	202608	6	10	6	0.1313	-0.9788	0.6667	20620200.0000	12273240.7100	132100.0000	102268.5750	29831.4250	1.6801	0.2258
w_take1.0_stop3.0_atr4.0_dev0.0	202609	38	63	48	0.1519	-1.0591	0.7105	133366300.0000	80889681.6325	975300.0000	740287.3950	235012.6050	1.6487	0.2410
w_take1.0_stop3.0_atr4.5_dev-1.0	202509	61	82	42	0.0588	-0.9126	0.4754	171514620.0000	127695771.4930	659950.0000	454106.5325	205843.4675	1.3432	0.3119
w_take1.0_stop3.0_atr4.5_dev-1.0	202510	86	128	92	0.0752	-1.1439	0.6512	267633980.0000	181707382.0195	1269800.0000	823415.9150	446384.0850	1.4729	0.3515
w_take1.0_stop3.0_atr4.5_dev-1.0	202511	86	126	79	0.0975	-0.8447	0.6279	267626520.0000	183677837.5435	1471710.0000	1081447.1295	390262.8705	1.4570	0.2652
w_take1.0_stop3.0_atr4.5_dev-1.0	202512	129	177	98	0.0584	-0.9524	0.5116	370074690.0000	270746685.9120	1465580.0000	989825.9460	475754.0540	1.3669	0.3246
w_take1.0_stop3.0_atr4.5_dev-1.0	202601	128	221	164	0.1225	-0.8841	0.6875	462294050.0000	269031398.6575	2785350.0000	1993015.0725	792334.9275	1.7184	0.2845
w_take1.0_stop3.0_atr4.5_dev-1.0	202602	68	114	80	0.0858	-1.1392	0.6029	240727090.0000	143700601.8575	1142210.0000	750382.4875	391827.5125	1.6752	0.3430
w_take1.0_stop3.0_atr4.5_dev-1.0	202603	14	22	17	-0.1202	-3.1291	0.3571	46163420.0000	29649266.7230	-130000.0000	-212117.3100	82117.3100	1.5570	0.6317
w_take1.0_stop3.0_atr4.5_dev-1.0	202604	40	59	39	0.0332	-1.1298	0.5000	123585930.0000	83629752.5815	390730.0000	200790.1865	189939.8135	1.4778	0.4861
w_take1.0_stop3.0_atr4.5_dev-1.0	202605	36	62	50	0.0935	-1.3884	0.6389	129973450.0000	77001248.4550	669100.0000	426203.5250	242896.4750	1.6879	0.3630
