variant	atr_max	dev_lo	dev_hi	days	buys	gross_pct	net_pct	net_per_buy	months_pos	months
stop1.5	99	-3	2	909	1640	-0.016187584948200336	-0.24615278164202775	-5119.144315792684	2	13
l0_live	99	-1	2	720	1259	-0.01711815264560682	-0.2470813486174188	-5143.643000714854	3	13
stop1.5	99	-5	2	996	1836	-0.018586319178145037	-0.248546358593223	-5162.901537745098	2	13
l0_live	99	-99	5	2164	3793	-0.018855783885667356	-0.24881524395031324	-5170.508250856842	1	13
l0_live	99	-3	2	909	1675	-0.019998403401154392	-0.24995540683527664	-5200.61429158209	2	13
stop1.5	4	-3	2	305	425	-0.020401963208367135	-0.25035809898746914	-5304.366850588235	1	12
stop1.5	99	-8	2	1064	1991	-0.02113008238958918	-0.2510846527136601	-5217.315416273229	2	13
l0_live	4	-8	5	658	893	-0.022915020796503628	-0.25286575350179114	-5335.248722396416	2	12
l0_live	4	-5	5	658	893	-0.022915020796503628	-0.25286575350179114	-5335.248722396416	2	12
stop1.5	99	-99	2	1098	2067	-0.02412739439384657	-0.2540755204958998	-5277.6814383164	1	13
l0_live	4	-99	5	659	894	-0.025714389823629072	-0.2556591038855082	-5394.3312350111855	2	12
l0_live	99	-5	2	996	1877	-0.027192686076751287	-0.2571342218029684	-5342.401971124134	2	13
l0_live	4	-3	5	654	884	-0.02743450973316515	-0.25737552553723886	-5439.480259162897	1	12
l0_live	4	-8	2	309	434	-0.0313455005357612	-0.2612781077096093	-5516.362039170507	1	12
l0_live	4	-5	2	309	434	-0.0313455005357612	-0.2612781077096093	-5516.362039170507	1	12
l0_live	99	-8	2	1064	2039	-0.0351366896943697	-0.2650611458127067	-5509.046117361452	2	13
l0_live	4	-99	2	310	435	-0.03707492394425365	-0.26699521285777345	-5637.370436781608	1	12
l0_live	4	-3	2	305	425	-0.04087144921927336	-0.27078357560345195	-5736.998976470588	1	12
l0_live	99	-99	2	1098	2115	-0.0422252599148186	-0.27213447560600174	-5654.145354373522	1	13
trail_arm1.0_t1.0	4	-5	2	309	331	-0.04647190240368079	-0.2763719878135129	-5833.885024169184	2	12
trail_arm1.0_t1.0	4	-8	2	309	331	-0.04647190240368079	-0.2763719878135129	-5833.885024169184	2	12
trail_arm1.0_t1.0	4	-99	2	310	332	-0.048083614008945494	-0.27798023423882623	-5868.250325301204	2	12
trail_arm1.0_t1.0	99	0	99	2601	2822	-0.05529506222861953	-0.2851761778380244	-5941.256509922041	0	13
trail_arm1.0_t1.0	99	-99	99	3135	3555	-0.05703086737027609	-0.28690825100137407	-5969.471196090014	1	13
trail_arm1.0_t1.0	99	-8	99	3101	3511	-0.05818145466127197	-0.2880563645296439	-5994.006542181714	1	13
trail_arm1.0_t1.0	99	-1	99	2757	3017	-0.05905471506804746	-0.28892774742508015	-6016.61357202519	1	13
trail_arm1.0_t1.0	99	-5	99	3033	3401	-0.05923155768786715	-0.28910420983459933	-6016.1664112319895	1	13
trail_arm1.0_t1.0	99	-3	99	2946	3267	-0.059466908390988255	-0.2893390545328019	-6023.951136639118	1	13
trail_arm1.0_t1.0	99	-99	2	1098	1395	-0.06432327276848226	-0.2941849777337526	-6121.2733825806445	2	13
trail_arm1.0_t1.0	99	0	2	564	662	-0.06494401694014006	-0.29480438730010944	-6169.0817788519635	2	13
trail_arm1.0_t1.0	4	-3	2	305	325	-0.0658044151491968	-0.295662935656626	-6258.48167076923	2	12
trail_arm1.0_t1.0	99	-8	2	1064	1351	-0.0675480916346053	-0.29740286323936904	-6189.980189637306	3	13
trail_arm1.0_t1.0	99	-99	5	2164	2524	-0.07090398311577192	-0.3007515395482618	-6252.878648217116	1	13
trail_arm1.0_t1.0	99	-5	2	996	1241	-0.07125325593747511	-0.301100061439145	-6268.080766478646	3	13
trail_arm1.0_t1.0	99	-8	5	2130	2480	-0.07277821067567061	-0.30262173751883953	-6292.642167580644	1	13
trail_arm1.0_t1.0	5	-8	2	472	517	-0.07312498483344608	-0.3029677661160542	-6336.695179883946	1	13
trail_arm1.0_t1.0	99	-3	2	909	1107	-0.07338239417623033	-0.30322462202875144	-6321.548897922314	2	13
trail_arm1.0_t1.0	5	-5	2	464	507	-0.07373326357895386	-0.3035747370622591	-6346.500341222881	1	13
trail_arm1.0_t1.0	99	0	5	1630	1791	-0.0738113383299984	-0.30365264394454655	-6324.411768285874	1	13
trail_arm1.0_t1.0	5	-8	5	1005	1064	-0.07488815418500146	-0.30472714465350365	-6373.077456578947	2	13
trail_arm1.0_t1.0	99	-5	5	2062	2370	-0.07496289646017149	-0.304801726228724	-6338.302772405063	1	13
trail_arm1.0_t1.0	5	-5	5	997	1054	-0.07519782066819233	-0.3050361453537557	-6378.139163946869	2	13
trail_arm1.0_t1.0	99	-1	2	720	857	-0.0759740139057488	-0.3058106697758514	-6382.5314042007	1	13
trail_arm1.0_t1.0	99	-3	5	1975	2236	-0.07623869115055645	-0.3060747779592097	-6368.982097227191	1	13
trail_arm1.0_t1.0	5	-99	5	1007	1066	-0.077450580675093	-0.30728406192664154	-6426.7013684803005	2	13
trail_arm1.0_t1.0	99	-1	5	1786	1986	-0.07771887809409184	-0.3075517825001415	-6401.268254179255	1	13
trail_arm1.0_t1.0	5	-99	2	474	519	-0.07839448767237424	-0.30822593952387867	-6446.976210019268	1	13
trail_arm1.0_t1.0	5	-8	99	1323	1394	-0.08110356586408039	-0.3109291931974726	-6504.70165251076	1	13
trail_arm1.0_t1.0	5	-5	99	1315	1384	-0.08138525583904332	-0.3112102775389894	-6509.507491763005	2	13
trail_arm1.0_t1.0	4	-8	5	658	685	-0.08248588313404286	-0.3123085384853046	-6588.88265839416	2	12
trail_arm1.0_t1.0	4	-5	5	658	685	-0.08248588313404286	-0.3123085384853046	-6588.88265839416	2	12
trail_arm1.0_t1.0	4	-1	5	625	648	-0.08250946771427002	-0.3123320723586844	-6601.449331790124	4	12
trail_arm1.0_t1.0	5	-99	99	1325	1396	-0.08305068543232096	-0.3128721264586415	-6545.460851432665	1	13
