tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~15	on	6	2022bear	False	True	3096	245	12	-0.1385	-0.1498	0.0112	-0.0096	0.0256	1.1215	0.2860	0.6667	-3.9780	-6.8039	-1.4813	-9.6543	3.5953	70.0918	0.0742	0.6079	0.3847	0.0000	
False	5~15	on	6	2024blackmon	False	False	4873	244	13	-0.1461	-0.1425	-0.0036	-0.0344	-0.0059	-0.2573	0.8013	0.5385	-3.9430	-6.8143	-1.5209	-11.7188	3.1746	79.3792	0.0742	0.6009	0.3876	0.0000	
False	5~15	on	6	2026now	False	False	3822	145	9	-0.0925	-0.1731	0.0806	0.0153	0.0335	0.7333	0.4843	0.6667	-3.7428	-6.9930	-1.5338	-8.1775	2.2046	114.3062	0.0756	0.6426	0.3550	0.0000	
False	5~15	on	6	all4	False	False	18816	870	46	-0.1185	-0.1392	0.0208	-0.0186	0.0154	1.1448	0.2583	0.5652	-3.8217	-6.7628	-1.5182		2.9869		0.0747	0.6240	0.3703		0.4736
True	5~35	off	none	2020covid	False	False	23720	248	12	-0.0442	-0.0229	-0.0213	-0.0779	-0.0274	-0.8517	0.4126	0.4167	-4.1096	-9.7005	-1.6946	-9.5153	6.2038	40.6206	0.0522	0.8377	0.0000	0.0000	
True	5~35	off	none	2022bear	False	True	13785	246	12	-0.3515	-0.2241	-0.1274	-0.1413	-0.0691	-2.2069	0.0495	0.1667	-4.3991	-11.8211	-1.6766	-21.5006	7.2729	34.6492	0.0456	0.7629	0.0000	0.0001	
True	5~35	off	none	2024blackmon	False	False	16485	245	13	-0.1987	-0.1377	-0.0610	-0.0770	-0.0482	-1.5877	0.1383	0.3077	-4.3478	-10.9636	-1.7995	-15.0613	6.5462	38.4957	0.0481	0.7987	0.0000	0.0000	
True	5~35	off	none	2026now	False	False	12481	145	9	-0.0522	-0.1371	0.0849	-0.0645	-0.0041	-0.0633	0.9511	0.5556	-4.4524	-10.6275	-1.8816	-11.9971	5.1917	48.5395	0.0428	0.8639	0.0000	0.0001	
True	5~35	off	none	all4	False	False	66471	884	46	-0.1477	-0.1294	-0.0183	-0.0916	-0.0396	-2.0969	0.0417	0.3478	-4.3000	-10.5732	-1.7493		6.3204		0.0478	0.8174	0.0000		
True	5~35	off	2.5	2020covid	False	False	23720	248	12	-0.0909	-0.0571	-0.0338	-0.0415	-0.0308	-3.1614	0.0091	0.1667	-3.1673	-4.7320	-1.6946	-6.4508	1.3505	186.5909	0.0998	0.3531	0.6469	0.0000	
True	5~35	off	2.5	2022bear	False	True	13785	246	12	-0.1133	-0.0870	-0.0263	-0.0313	-0.0187	-1.5343	0.1532	0.3333	-3.1847	-4.8423	-1.6766	-7.5327	1.4715	171.2507	0.1028	0.3437	0.6559	0.0000	
True	5~35	off	2.5	2024blackmon	False	False	16485	245	13	-0.1121	-0.0782	-0.0338	-0.0342	-0.0196	-1.6902	0.1168	0.3077	-3.2746	-4.9612	-1.7995	-8.5398	1.3625	184.9526	0.1013	0.3313	0.6661	0.0000	
