tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~15	off	none	2020covid	False	False	14871	248	12	-0.0558	-0.0277	-0.0281	-0.0942	-0.0406	-1.5023	0.1612	0.3333	-3.9906	-9.4995	-1.6049	-12.3120	6.7274	37.4588	0.0625	0.8216	0.0000	0.0001	
False	5~15	off	none	2022bear	False	True	9601	246	12	-0.3041	-0.1978	-0.1064	-0.1298	-0.0674	-2.0431	0.0658	0.1667	-4.3290	-11.7978	-1.6386	-19.7462	7.8600	32.0610	0.0519	0.7421	0.0000	0.0000	
False	5~15	off	none	2024blackmon	False	False	10623	245	13	-0.1838	-0.1374	-0.0464	-0.0481	-0.0199	-0.8262	0.4248	0.3846	-4.2384	-10.9783	-1.6793	-13.3472	7.1565	35.2130	0.0566	0.7794	0.0000	0.0000	
False	5~15	off	none	2026now	False	False	6765	145	9	-0.0661	-0.1462	0.0801	0.0086	0.0449	0.8492	0.4204	0.7778	-3.9813	-9.5238	-1.6854	-9.8736	5.2902	47.6355	0.0587	0.8646	0.0000	0.0000	
False	5~15	off	none	all4	False	False	41860	884	46	-0.1469	-0.1249	-0.0220	-0.0703	-0.0250	-1.4702	0.1485	0.3913	-4.1152	-10.3710	-1.6420		6.8638		0.0577	0.7996	0.0000		0.3854
False	5~15	off	2.5	2020covid	False	False	14871	248	12	-0.1385	-0.1191	-0.0194	-0.0297	-0.0268	-3.7598	0.0032	0.0833	-3.0315	-4.3910	-1.6049	-9.8820	1.4518	173.5754	0.1136	0.3678	0.6322	0.0000	
False	5~15	off	2.5	2022bear	False	True	9601	246	12	-0.1526	-0.1145	-0.0381	-0.0479	-0.0433	-3.6938	0.0035	0.1667	-3.0761	-4.4898	-1.6386	-10.5568	1.5914	158.3515	0.1149	0.3486	0.6508	0.0000	
False	5~15	off	2.5	2024blackmon	False	False	10623	245	13	-0.1542	-0.1230	-0.0312	-0.0329	-0.0255	-3.0147	0.0108	0.1538	-3.1142	-4.5404	-1.6793	-11.3723	1.4807	170.1841	0.1155	0.3443	0.6525	0.0000	
False	5~15	off	2.5	2026now	False	False	6765	145	9	-0.1480	-0.1670	0.0189	0.0320	0.0360	0.9817	0.3550	0.5556	-3.2609	-5.1627	-1.6854	-7.6514	1.2869	195.8167	0.1153	0.3515	0.6473	0.0000	
False	5~15	off	2.5	all4	False	False	41860	884	46	-0.1473	-0.1267	-0.0205	-0.0233	-0.0184	-2.0445	0.0468	0.2174	-3.0940	-4.5455	-1.6420		1.4645		0.1147	0.3548	0.6441		0.1715
False	5~15	off	6	2020covid	False	False	14871	248	12	-0.1291	-0.1058	-0.0233	-0.0417	-0.0289	-2.1338	0.0562	0.2500	-3.9906	-6.7704	-1.6049	-9.6735	2.7256	92.4553	0.0737	0.6234	0.3737	0.0000	
False	5~15	off	6	2022bear	False	True	9601	246	12	-0.1757	-0.1498	-0.0260	-0.0379	-0.0168	-0.8879	0.3936	0.3333	-4.3290	-6.9663	-1.6386	-11.5350	3.0070	83.8051	0.0728	0.5850	0.4093	0.0000	
False	5~15	off	6	2024blackmon	False	False	10623	245	13	-0.1623	-0.1425	-0.0199	-0.0329	-0.0142	-0.9331	0.3692	0.3846	-4.2384	-6.9325	-1.6793	-12.2537	2.6699	94.3867	0.0733	0.5931	0.4007	0.0000	
False	5~15	off	6	2026now	False	False	6765	145	9	-0.1134	-0.1731	0.0597	0.0201	0.0314	0.8806	0.4042	0.5556	-3.9813	-7.1031	-1.6854	-7.7274	1.9769	127.4697	0.0747	0.6294	0.3693	0.0000	
False	5~15	off	6	all4	False	False	41860	884	46	-0.1457	-0.1392	-0.0065	-0.0261	-0.0098	-0.9502	0.3471	0.3696	-4.1152	-6.9066	-1.6420		2.6550		0.0736	0.6079	0.3880		0.5454
False	5~15	on	none	2020covid	False	False	7692	238	12	-0.0889	-0.0277	-0.0611	-0.1475	-0.0407	-0.7229	0.4848	0.4167	-3.8486	-9.1694	-1.5444	-15.4806	6.9557	36.2294	0.0608	0.8121	0.0000	0.0000	
False	5~15	on	none	2022bear	False	True	3311	244	12	-0.2800	-0.1978	-0.0822	-0.1309	-0.0511	-0.8975	0.3887	0.4167	-4.0323	-11.2468	-1.5504	-19.8166	8.2114	30.6890	0.0534	0.7375	0.0000	0.0000	
